inverter_manufacturer,model,ac_size,priority_rank,number_of_strings,module_manufacturer,module_size,module_per_string,total_modules,inverter_unit_cost,module_cost_per_watt,optimizer_unit_price,module_area_at_5_degree_tilt,module_degradation
SolarEdge,SE100KUS,100,1,9,LG,400,36,324,4846.23,0.52,69.59,24.1823,0.56%
SolarEdge,SE100KUS,100,1,9,Trina,340,44,396,4846.23,0.32,69.59,22.7473,0.77%
SolarEdge,SE100KUS,100,1,9,Seraphim,370,40,360,4846.23,0.43,69.59,22.7082,0.77%
SolarEdge,SE66.6KUS,66.6,2,6,LG,400,36,216,3230.82,0.52,69.59,24.1823,0.56%
SolarEdge,SE66.6KUS,66.6,2,6,Trina,340,44,264,3230.82,0.32,69.59,22.7473,0.77%
SolarEdge,SE66.6KUS,66.6,2,6,Seraphim,370,40,240,3230.82,0.43,69.59,22.7082,0.77%
SolarEdge,SE33.3KUS,33.3,3,3,LG,400,36,108,2189.09,0.52,69.59,24.1823,0.56%
SolarEdge,SE33.3KUS,33.3,3,3,Trina,340,44,132,2189.09,0.32,69.59,22.7473,0.77%
SolarEdge,SE33.3KUS,33.3,3,3,Seraphim,370,40,120,2189.09,0.43,69.59,22.7082,0.77%
SolarEdge,SE20KUS,20,4,2,LG,400,32,64,1259.23,0.52,69.59,24.1823,0.56%
SolarEdge,SE20KUS,20,4,2,Trina,340,38,76,1259.23,0.32,69.59,22.7473,0.77%
SolarEdge,SE20KUS,20,4,2,Seraphim,370,36,72,1259.23,0.43,69.59,22.7082,0.77%
CPS,125KTL,125,1,25,LG,400,16,400,5750,0.52,37.22,24.1823,0.56%
CPS,125KTL,125,1,25,Trina,340,20,500,5750,0.32,37.22,22.7473,0.77%
CPS,125KTL,125,1,25,Seraphim,370,18,450,5750,0.43,37.22,22.7082,0.77%
CPS,100KTL,100,2,24,LG,400,14,336,5600,0.52,37.22,24.1823,0.56%
CPS,100KTL,100,2,24,Trina,340,18,432,5600,0.32,37.22,22.7473,0.77%
CPS,100KTL,100,2,24,Seraphim,370,16,384,5600,0.43,37.22,22.7082,0.77%
CPS,60KTL,60,3,18,LG,400,12,216,3890,0.52,37.22,24.1823,0.56%
CPS,60KTL,60,3,18,Trina,340,14,252,3890,0.32,37.22,22.7473,0.77%
CPS,60KTL,60,3,18,Seraphim,370,12,216,3890,0.43,37.22,22.7082,0.77%
CPS,50KTL,50,4,18,LG,400,10,180,3725,0.52,37.22,24.1823,0.56%
CPS,50KTL,50,4,18,Trina,340,12,216,3725,0.32,37.22,22.7473,0.77%
CPS,50KTL,50,4,18,Seraphim,370,10,180,3725,0.43,37.22,22.7082,0.77%
CPS,36KTL,36,5,16,LG,400,8,128,2790,0.52,37.22,24.1823,0.56%
CPS,36KTL,36,5,15,Trina,340,10,150,2790,0.32,37.22,22.7473,0.77%
CPS,36KTL,36,5,16,Seraphim,370,8,128,2790,0.43,37.22,22.7082,0.77%
SMA,SMA4600,4600,1,600,LG,400,28,16800,,0.52,,24.1823,0.56%
SMA,SMA4600,4600,1,600,Trina,340,28,16800,,0.32,,22.7473,0.77%
SMA,SMA4600,4600,1,600,Seraphim,370,28,16800,,0.43,,22.7082,0.77%
SMA,SMA4400,4400,2,600,LG,400,25,15000,,0.52,,24.1823,0.56%
SMA,SMA4400,4400,2,600,Trina,340,30,18000,,0.32,,22.7473,0.77%
SMA,SMA4400,4400,2,600,Seraphim,370,28,16800,,0.43,,22.7082,0.77%
SMA,SMA4200,4200,3,600,LG,400,24,14400,,0.52,,24.1823,0.56%
SMA,SMA4200,4200,3,600,Trina,340,29,17400,,0.32,,22.7473,0.77%
SMA,SMA4200,4200,3,600,Seraphim,370,26,15600,,0.43,,22.7082,0.77%
SMA,SMA4000,4000,4,600,LG,400,22,13200,,0.52,,24.1823,0.56%
SMA,SMA4000,4000,4,600,Trina,340,27,16200,,0.32,,22.7473,0.77%
SMA,SMA4000,4000,4,600,Seraphim,370,24,14400,,0.43,,22.7082,0.77%
