id,state,snow,soiling,downtime,ac_losses,shading,total_losses
,AL,0%,2%,3.0%,3.0%,7.0%,15%
,AK,12%,5%,3.0%,3.0%,7.0%,30%
,AZ,0%,5%,3.0%,3.0%,7.0%,18%
,AR,8%,1%,3.0%,3.0%,7.0%,22%
,CA,0%,7%,3.0%,3.0%,7.0%,20%
,DC,3%,1%,3.0%,3.0%,7.0%,17%
,CO,7%,1%,3.0%,3.0%,7.0%,21%
,CT,5%,1%,3.0%,3.0%,7.0%,19%
,DE,3%,1%,3.0%,3.0%,7.0%,17%
,FL,0%,2%,3.0%,3.0%,7.0%,15%
,GA,0%,2%,3.0%,3.0%,7.0%,15%
,HI,0%,5%,3.0%,3.0%,7.0%,18%
,ID,8%,1%,3.0%,3.0%,7.0%,22%
,IL,8%,1%,3.0%,3.0%,7.0%,22%
,IN,3%,1%,3.0%,3.0%,7.0%,17%
,IA,8%,1%,3.0%,3.0%,7.0%,22%
,KS,3%,1%,3.0%,3.0%,7.0%,17%
,KY,0%,2%,3.0%,3.0%,7.0%,15%
,LA,0%,2%,3.0%,3.0%,7.0%,15%
,ME,8%,1%,3.0%,3.0%,7.0%,22%
,MD,3%,1%,3.0%,3.0%,7.0%,17%
,MA,5%,1%,3.0%,3.0%,7.0%,19%
,MI,8%,1%,3.0%,3.0%,7.0%,22%
,MN,9%,1%,3.0%,3.0%,7.0%,23%
,MS,0%,2%,3.0%,3.0%,7.0%,15%
,MO,0%,2%,3.0%,3.0%,7.0%,15%
,MT,8%,1%,3.0%,3.0%,7.0%,22%
,NE,8%,1%,3.0%,3.0%,7.0%,22%
,NV,0%,5%,3.0%,3.0%,7.0%,18%
,NH,8%,1%,3.0%,3.0%,7.0%,22%
,NJ,3%,1%,3.0%,3.0%,7.0%,17%
,NM,0%,5%,3.0%,3.0%,7.0%,18%
,NY,5%,1%,3.0%,3.0%,7.0%,19%
,NC,0%,2%,3.0%,3.0%,7.0%,15%
,ND,9%,1%,3.0%,3.0%,7.0%,23%
,OH,8%,1%,3.0%,3.0%,7.0%,22%
,OK,0%,5%,3.0%,3.0%,7.0%,18%
,OR,5%,1%,3.0%,3.0%,7.0%,19%
,PA,5%,1%,3.0%,3.0%,7.0%,19%
,RI,5%,1%,3.0%,3.0%,7.0%,19%
,SC,0%,2%,3.0%,3.0%,7.0%,15%
,SD,9%,1%,3.0%,3.0%,7.0%,23%
,TN,0%,5%,3.0%,3.0%,7.0%,18%
,TX,0%,2%,3.0%,3.0%,7.0%,15%
,UT,7%,1%,3.0%,3.0%,7.0%,21%
,VT,8%,1%,3.0%,3.0%,7.0%,22%
,VA,3%,1%,3.0%,3.0%,7.0%,17%
,WA,8%,1%,3.0%,3.0%,7.0%,22%
,WV,3%,1%,3.0%,3.0%,7.0%,17%
,WI,9%,1%,3.0%,3.0%,7.0%,23%
,WY,9%,1%,3.0%,3.0%,7.0%,23%
